comment,label,rate,Unnamed: 3,comment_clean
》Đóng gói sp rất kỹ.,POS,5,,đóng_gói sp rất kỹ
vải đẹp.,POS,5,,vải đẹp
Chất lượng sản phẩm tuyệt đẹp nhưng vải có vẻ hơi mỏng 😂.,POS,4,,chất_lượng sản_phẩm tuyệt_đẹp nhưng vải có_vẻ hơi mỏng
Rất đẹp rất ưng ý.,NEG,1,*,rất đẹp rất ưng_ý
Hài lòng với shop.,POS,5,,hài_lòng với shop
"Áo đẹp xuất sắc ạ, chất dày dặn sờ thích lắm mà áo bên ngoài cũng y như trong ảnh luôn.",POS,5,,áo đẹp xuất_sắc ạ chất dày dặn sờ_thích lắm mà áo bên ngoài cũng y_như trong ảnh luôn
Váy dày dáng đẹp tuy nhiên hơi ôm Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,váy dày_dáng đẹp tuy_nhiên hơi ôm đóng_gói sản_phẩm rất đẹp và chắc_chắn
Vô cùng hài lòng khi nhận được hàng ạ 💖💖💖!!,POS,5,,vô_cùng hài_lòng khi nhận được hàng ạ
Mau ma spham dep.chat luong vai kha tot.hop voi gia minh mua.giao hanh nhanh chong.,POS,5,,mau ma spham depchat luong vai kha_tothop voi gia_minh muagiao hanh nhanh chong
Quần chất thích vừa vặn size Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền.,POS,5,,quần chất_thích vừa vặn size chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh rất đáng tiền
Tay áo rất khó cử động.,NEU,3,,tay_áo rất khó cử_động
Hàng may lỗi.,NEU,3,,hàng may lỗi
Shop có mua bán lại nửa giá.,NEU,3,,shop có mua_bán lại nửa giá
cảm ơn shop nhiêu ạ.,POS,5,,cảm_ơn shop_nhiêu ạ
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Giày đẹp.,POS,5,,giày đẹp
"Haiza chất lượng thì mình chưa xài nên chưa bít, nhưng đã lưu ý cho shop rùi mà vẫn gửi cho một lố quần đen, sầu!",NEU,3,,haiza chất_lượng thì mình chưa xài nên chưa bít nhưng đã lưu_ý cho shop rùi mà vẫn gửi cho một lố_quần đen sầu
Mặc thoải mái không bí người.,POS,5,,mặc thoải_mái không bí người
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn áo đẹp lắm ạ ủng hộ shop thêm cho 100 sao...,POS,4,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn áo đẹp lắm ạ ủng_hộ shop thêm cho 100 sao
"Rất đẹp,vải rất tốt,mình tậu cả 3 cái.",POS,5,,rât đepvai rât tôtminh tâu_ca 3 cai
Thời gian giao hàng rất nhanh Shop phục vụ rất tốt.,POS,5,,thời_gian giao hàng rất nhanh_shop phục_vụ rất tốt
Hàng chỉ tạm đc.,NEG,2,,hàng chỉ tạm đc
Quần rất ok so với giá.Bạn nào mông to nên chọn chênh sz 1 chút.,NEU,3,,quần rất ok so với giábạn nào mông to nên chọn chênh_sz 1 chút
"Áo đẹp, chất mịn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.",POS,5,,áo đẹp chất mịn đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh
Cực kì đáng tiền.,POS,5,,cực_kì đáng tiền
Chất liệu và màu sắc tạm ổn.,NEU,3,,chất_liệu và màu_sắc tạm ổn
Áo đẹp đúng hình.,POS,5,,áo đẹp đúng hình
"Váy dày, sản phẩm đẹp.",POS,5,,váy dày sản_phẩm đẹp
Thời gian giao hàng rất nhanh.,POS,5,,thời_gian giao hàng rất nhanh
Chất áo cx dày Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,4,,chất áo cx dày chất_lượng sản_phẩm tuyệt_vời rất đáng tiền thời_gian giao hàng rất nhanh
Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng nhanh Chất lượng sp bt rang hơi cháy nên có mùi khét trc và sau khi uống.,POS,4,,đóng_gói sản_phẩm chắc_chắn shop phục_vụ khá tốt thời_gian giao hàng nhanh chất_lượng sp bt rang hơi cháy nên có mùi khét_trc và sau khi uống
"Đúng là shopee 4H,giao hàng rất nhanh trong ngày,mà còn có 3bịch kẹo thôi mà nhìn cái hộp và keo dán đều của shopee hết mà bên trong lót đều mút bảo vệ nữa chứ.Hôm nay dù KM,mà nhắn shop giao bịch kẹo date mới đúng y chang NSX 08/18 lun.Làm ăn rất có Tâm...gần hết kẹo sẽ gặp shop lần 3.THANKS!",POS,5,,đúng là shopee 4 hgiao hàng rất nhanh trong ngàymà còn có 3 bịch kẹo thôi mà nhìn cái hộp và keo dán đều của shopee hết mà bên trong lót đều mút bảo_vệ nữa chứhôm nay dù kmmà nhắn_shop giao_bịch kẹo date mới đúng y_chang nsx 0818 lunlàm ăn rất có tâmgần hết kẹo sẽ gặp shop lần 3 thanks
Giá thành hợp sản phẩm 😍.,POS,5,,giá_thành hợp sản_phẩm
"Rất ưng về chất vải ,tuy nhiên thừa chỉ may hơi nhiều.k sao mình tự cắt. 5 sao.",POS,5,,rất ưng về chất vải tuy_nhiên thừa chỉ may hơi nhiềuk sao mình tự cắt 5 sao
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,4,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh
Mình mua áo xám.,POS,5,,mình mua áo xám
mình Hài Lòng về sản phẩm.,POS,5,,mình hài_lòng về sản_phẩm
Vải dày fom y hình.,POS,4,,vải dày fom y_hình
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền.,POS,4,,đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền
Chất lượng sản phẩm tuyệt vời .Thời gian giao hàng rất nhanh.chủ shop nói chuyện dễ thương.,POS,5,,chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanhchủ_shop nói_chuyện dễ_thương
"Mua 2,5kg, có 1 kìm.",NEG,2,,mua 25 kg có 1 kìm
Đưa quần thì 1c to và 1c nhỏ xíu trẻ con mặc vừa.,POS,5,,đưa quần thì 1 c to và 1 c nhỏ_xíu trẻ_con mặc vừa
Shop phục vụ rất tốt giao hàng nhanh chóng.,POS,5,,shop phục_vụ rất tốt giao hàng nhanh_chóng
"Khăn mịn, dùng ok.",POS,4,,khăn mịn dùng ok
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
"Vải hơi mỏng, nhưng vẫn chấp nhận đc.",POS,4,,vải hơi mỏng nhưng vẫn chấp_nhận đc
Quần màu ok.,POS,5,,quần màu ok
Chất lượng đảm bảo.,POS,5,,chất_lượng đảm_bảo
Xinh nha :)).,POS,5,,xinh_nha
Bộ ngủ mở túi ra đã bị tuột chỉ 😢😢😢 Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,bộ ngủ mở túi ra đã bị tuột chỉ đóng_gói sản_phẩm rất đẹp và chắc_chắn
Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Chất lượng sản phẩm tuyệt vời nhưng có điều vành nón mềm quá khi đôi bị rủ xuống noi chung cung hài lòng.,POS,4,,đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền chất_lượng sản_phẩm tuyệt_vời nhưng có_điều vành nón mềm quá khi đôi bị rủ xuống noi chung cung hài_lòng
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Đẹp.,POS,5,,đẹp
Đáng đồng tiền.,POS,5,,đáng đồng_tiền
Giặt tay mới 1 nước đã hơi nhão.,NEU,3,,giặt tay mới 1 nước đã hơi nhão
"Màu lên đẹp, chất son rất mướt, k bị khô môi, lâu trôi nữa.",POS,5,,màu lên đẹp chất_son rất mướt_k bị khô môi lâu trôi nữa
-Quần ngắn quá :(.,NEG,2,,quần ngắn quá
"Vải hơi mỏng, giặt lần đầu có ra màu.",POS,5,,vải hơi mỏng_giặt lần đầu có ra màu
Chất lượng sản phẩm tạm được Chất lượng sản phẩm tạm được Chất lượng sản phẩm tạm được Chất lượng sản phẩm tạm được.,POS,4,,chất_lượng sản_phẩm tạm được chất_lượng sản_phẩm tạm được chất_lượng sản_phẩm tạm được chất_lượng sản_phẩm tạm được
Dog gói bt.,NEU,3,,dog gói bt
Nhưng 45kg mà hơi chật :(.,POS,4,,nhưng 45 kg mà hơi chật
Chất vải không đẹp cho lắm nhưng vẫn ổn so với giá.,NEG,1,,chất vải không đẹp cho lắm nhưng vẫn ổn so với giá
Áo chất đẹp giá rẻ mình rất ưng ý!,POS,5,,áo chất đẹp giá rẻ mình rất ưng_ý
Mọi người ai muốn mặc thoải mái Nếu khoảng 50 kg thì nên mua size L cho rộng nha.,POS,5,,mọi người ai muốn mặc thoải_mái nếu khoảng 50 kg thì nên mua size_l cho rộng nha
"Chất lượng sản phẩm tuyệt vời, sẽ mua hàng thêm mong shop luôn mang đến cho khách hàng những sản phẩm đẹp,.",POS,5,,chất_lượng sản_phẩm tuyệt_vời sẽ mua hàng thêm mong_shop luôn mang đến cho khách_hàng những sản_phẩm đẹp
Ok lắm!,POS,5,,ok lắm
Thiếu 1 cái lót giày.,NEU,3,,thiếu 1 cái lót giày
Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền.,POS,5,,rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền
Đóng gói sản phẩm rất kém Rất không đáng tiền Chất lượng sản phẩm rất kém.,NEG,1,,đóng_gói sản_phẩm rất kém rất không đáng tiền chất_lượng sản_phẩm rất kém
"Chất lượng sản phẩm tốt, nhưng hơi mỏng.",POS,4,,chất_lượng sản_phẩm tốt nhưng hơi mỏng
"Vải thuộc loại vải bóng, mặc nóng, dễ bám bụi, ren dễ bị xù.",NEG,2,,vải thuộc loại vải bóng mặc nóng dễ bám bụi_ren dễ bị xù
"Tặng shop 10 sao luôn ấy ^^, shop phục vụ rất rất rất tốt, thời gian giao hàng nhanh kinh khủng luôn, Chất lượng sản phẩm tuyệt vời ,Rất đáng tiền.",POS,5,,tặng shop 10 sao luôn ấy shop phục_vụ rất rất rất tốt thời_gian giao hàng nhanh kinh_khủng luôn chất_lượng sản_phẩm tuyệt_vời rất đáng tiền
Xứng đáng 5 sao.,POS,5,,xứng_đáng 5 sao
Rất đáng tiền.,POS,5,,rất đáng tiền
Shop giao hàng nhanh.,POS,5,,shop giao hàng nhanh
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
màu 09 hông phải hồng đất.. giống hồng sen dạ quang hơn :(.,NEU,3,,màu 09 hông phải hồng đất giống hồng_sen dạ_quang hơn
Hàng tốt 😍.,POS,4,,hàng tốt
áo xinh còn được tặng dây buộc tóc.,POS,4,,áo xinh còn được tặng dây buộc tóc
Rất vừa vặn ko chê đâu được.,POS,5,,rất vừa vặn ko chê đâu được
Mặc thoải mái.,POS,4,,mặc thoải_mái
Và mình nghĩ mọi người khi mua nhớ tăng thêm 1 size sẽ đẹp hơn.,POS,5,,và mình nghĩ mọi người khi mua nhớ tăng thêm 1 size sẽ đẹp hơn
Đẹp lắm ạ rất đáng tiền giao hàng rất nhanh luôn.,POS,4,,đẹp lắm ạ rất đáng tiền giao hàng rất nhanh luôn
Nhưng dù sao cũng gửi lời cảm ơn shop.,NEU,3,,nhưng dù_sao cũng gửi lời cảm_ơn shop
Đẹp lắm hơn cả mong đợi.,POS,5,,đẹp lắm hơn cả mong_đợi
Mặc lên xinh như trong ảnh.,POS,5,,mặc lên xinh_như trong ảnh
Mình mua 2cai.,POS,5,,mình mua 2 cai
Rất ok với giá tiền nha.,POS,5,,rất ok với giá tiền nha
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Mau ao nay nho qua minh mac ko vua.,NEU,3,,mau ao nay nho qua_minh mac ko vua
Balo may bị méo không đều vận chuyển khiến balo bị méo bị bẹt bị lõm k khắc phục đk nhưg nhìn chung châdt luọng sp rât tốt.,POS,5,,balo may bị méo không đều vận_chuyển khiến balo bị méo bị bẹt bị lõm_k khắc_phục đk nhưg nhìn_chung châdt luọng sp rât tốt
Thích e áo len nhứt ạ.,POS,5,,thích e_áo len_nhứt ạ
Mọi người yên tâm mua hàng của shop nha.,POS,4,,mọi người yên_tâm mua hàng của shop nha
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,NEU,3,,đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh
5*+.,POS,5,,5
Chất lượng sản phẩm tạm được Đóng gói sản phẩm tạm được Thời gian giao hàng nhanh Shop phục vụ khá tốt.,POS,5,,chất_lượng sản_phẩm tạm được đóng_gói sản_phẩm tạm được thời_gian giao hàng nhanh_shop phục_vụ khá tốt
"Chủ shop nhiệt tình,nc dễ thương lăm😍.",POS,5,,chủ shop nhiệt_tìnhnc dễ thương_lăm
Cám ơn vì món quà nhưng nhà mình k có ai tóc dài cả.,POS,4,,cám_ơn vì món quà nhưng nhà mình k có ai tóc dài cả
Giá okie nè.,POS,4,,giá okie nè
Sẽ ủng hộ shop nhiều hơn.,NEU,3,,sẽ ủng_hộ shop nhiều hơn
Áo qa đẹp luôn.,POS,5,,áo qa đẹp luôn
"Vải thô cứng , bị nhăn.",NEU,3,,vải thô_cứng bị nhăn
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
"Chất lượng sản phẩm tuyệt vời ,Shop phục vụ rất ,tốt Rất đáng tiền!!",POS,5,,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền
Áo mang rất đẹp và chuẩn dáng người ae nào có mua thì tranh thủ mua để hết hàng nhé..,POS,5,,áo mang rất đẹp và chuẩn_dáng người ae nào có mua thì tranh_thủ mua để hết hàng nhé
Chất lượng sản phẩm kém không đáng tiền chất vải nhăn mỏng rất xấu không xứng với giá tiền.,NEG,1,,chất_lượng sản_phẩm kém không đáng tiền chất vải nhăn mỏng rất xấu không xứng với giá tiền
mh đặt 2 cái áo sao gửi cho mh có 1 cái áo vậy shop.,NEG,1,,mh đặt 2 cái áo sao gửi cho mh có 1 cái áo vậy shop
Chất vải Okie.,POS,4,,chất vải okie
Mới mặc là tróc chữ.,NEU,3,,mới mặc là tróc chữ
Áo đẹp lắm shop :).,POS,5,,áo đẹp lắm shop
Sp đep.,POS,4,,sp đep
Chất lượng sản phẩm tuyệt vời nhưng mua về con lại ko chơi nên hơi buồn.vẫn cho shop 5sao.,POS,5,,chất_lượng sản_phẩm tuyệt_vời nhưng mua về con lại ko_chơi nên hơi buồnvẫn cho shop 5 sao
"Tuyệt vời ạ, tiếc là ko có size nhỏ hơn.",POS,5,,tuyệt_vời ạ tiếc là ko có size nhỏ hơn
Sản phẩm tốt giá hợp lý.cảm ơn shop.hihi.,POS,5,,sản_phẩm tốt giá hợp lýcảm_ơn shophihi
Nội dung hay.,POS,4,,nội_dung hay
Nhung hộp xấu.,NEU,3,,nhung hộp xấu
Vì k có khóa kéo chỉ có dây thắt nút thôi(cái này túi đựng trong hình khách nhau) Túi đựng nhỏ khi bỏ thảm vào toàn bị dít vào nhau.,NEG,2,,vì k có khóa kéo chỉ có dây thắt nút thôicái này túi đựng trong hình khách nhau túi đựng nhỏ khi bỏ thảm vào toàn bị dít vào nhau
"Rất đáng tiền,.",POS,4,,rất đáng tiền
Sản phẩm k chất lượng.,NEG,2,,sản_phẩm k chất_lượng
Sp đẹp vừa giá tiền.,POS,4,,sp đẹp vừa giá tiền
"Giao thieu hàng,tien nhận đủ,nhắn tin đinh mua thêm kêu trừ tièn món hàng giao thiéu lại,đợi 4 ngay ko trả tin.làm ăn ko uy tính,ghét nhất thể loai này.",NEG,1,,giao thieu hàngtien nhận đủnhắn tin đinh mua thêm kêu trừ tièn món hàng giao thiéu lạiđợi 4 ngay ko trả tinlàm ăn ko uy_tínhghét nhất_thể loai này
Đóng gói sản phẩm rất kém Shop phục vụ rất kém Shop phục vụ rất kém.,NEG,1,,đóng_gói sản_phẩm rất kém shop phục_vụ rất kém shop phục_vụ rất kém
"Áo xinh giống hình lắm, bận cute.",POS,5,,áo xinh giống_hình lắm bận cute
Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,POS,5,,thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời
Rất đáng tiền.,POS,5,,rất đáng tiền
Tuy nhưng hồ k có mùi thơm lắm.,NEU,3,,tuy nhưng hồ k có mùi thơm lắm
"Ok, ns chung sẽ ủng hộ nữa 😋 ( chụp hình sáng quá nên màu nó nhạt , ở ngoài đẹp hơn).",POS,5,,ok ns chung sẽ ủng_hộ nữa chụp hình sáng quá nên màu nó nhạt ở ngoài đẹp hơn
Chất lượng tốt so với giá thành.,POS,5,,chất_lượng tốt so với giá_thành
"Vải đẹp, chị chủ shop dễ thương, form rộng theo kiểu uzzlang 👍👍.",POS,5,,vải đẹp chị chủ_shop dễ_thương form rộng theo kiểu uzzlang
Áo mặc rât thíc.,POS,5,,áo mặc rât thíc
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Chị chủ shop tư vấn nhiệt tình.,POS,5,,chị chủ_shop tư_vấn nhiệt_tình
Đóng gói sản phẩm rất đẹp và chắc chắn.chất cũng bt.,NEU,3,,đóng_gói sản_phẩm rất đẹp và chắc chắnchất cũng bt
Còn đc nhận quà từ shop 😍😍.,POS,5,,còn đc nhận quà từ shop
Không sao hết mình cũng rất thích nói chung là đẹp xuất sắc.,NEU,3,,không sao hết_mình cũng rất thích nói_chung là đẹp xuất_sắc
Vải không dày và đứng form như hình.,NEU,3,,vải không dày và đứng form như hình
"Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh,rat hai long,cam on shop.",POS,5,,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanhrat hai longcam on shop
Rong doi Lai size L.,NEG,2,,rong doi lai_size l
Rất thích mặc dù size rất to.,POS,4,,rất thích mặc_dù size rất to
Quần vải mềm như quần thun.,NEG,2,,quần vải mềm như quần_thun
Hàng đẹp y hình.,POS,5,,hàng đẹp y_hình
Giao size cỡ cỡ s mà thành cỡ l với m chất vải thì như nilon vải còn nhiều chỗ có lỗi hàng rẻ chịu thôi.,NEU,3,,giao size cỡ cỡ s mà thành cỡ l với m chất vải thì như nilon vải còn nhiều chỗ có lỗi hàng rẻ chịu thôi
"Giao hàng thiếu , nhưng vẫn tính tiền đủ hàng đã đặt .",NEG,1,,giao hàng thiếu nhưng vẫn tính tiền đủ hàng đã đặt
"Mình đặt 10 chiếc nhưng shop giao 9 chiếc có lẽ do hết hàng, tiền chiếc kia shop để chung vào gói hàng luôn.",POS,5,,mình đặt 10 chiếc nhưng shop giao 9 chiếc có_lẽ do hết hàng tiền chiếc kia shop để chung vào gói hàng luôn
"Sản phẩm tốt ,giao hàng nhanh.",POS,5,,sản_phẩm tốt giao hàng nhanh
Áo màu vàng chất vải khác và mỏng hơn.,NEG,2,,áo màu vàng chất vải khác và mỏng hơn
"Đóng gói đẹp- gọn gàng trong thùng, bao bì chống sốc tận 3 lớp mở mỏi tay lun.",NEU,3,,đóng_gói đẹp gọn_gàng trong thùng bao_bì chống sốc tận 3 lớp mở mỏi tay lun
Giao hàng nhanh .,POS,4,,giao hàng nhanh
Ko giống hình ko có bâu quần Vải nhăn.,NEG,2,,ko giống hình_ko có bâu quần vải nhăn
Áo qá nhăn.,NEG,1,,áo qá nhăn
Nói với shop che giúp em mà shop chẳng che :(.,NEU,3,,nói với shop che giúp em mà shop chẳng che
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời rất đáng tiền thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh
Túi đẹp.,POS,5,,tui đep
Xinh xinh xinh lắm luôn.,POS,5,,xinh xinh_xinh lắm luôn
K giống hình.,NEU,3,,k giống hình
Áo đẹp thời gian giao hàng nhanh 😍.,POS,5,,áo đẹp thời_gian giao hàng nhanh
SP k bằng lần trước mình mua.,NEU,3,,sp k bằng lần trước mình mua
Chất vải mỏg wa.,POS,5,,chất vải mỏg wa
"Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn.",NEU,3,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn
Hàng đẹp nhưng của mình 1sai.,NEU,3,,hang đep nhưng cua_minh 1 sai
Sẽ ủng hộ dài dài luôn ạ.,POS,5,,sẽ ủng_hộ dài_dài luôn ạ
"Thời gian giao hàng rấtnhanh, ở tỉnh 1 ngày là nhận dc hàng.",POS,5,,thời_gian giao hàng rấtnhanh ở tỉnh 1 ngày là nhận dc hàng
"Sp tốt , sẽ ủng hộ shop dài.",POS,5,,sp tốt sẽ ủng_hộ shop dài
Chắc chắn sẽ mua nữa.,POS,5,,chắc_chắn sẽ mua nữa
Hợp với giá tiền.,POS,4,,hợp với giá tiền
K có j phàn nàn về sp.,POS,5,,k có j phàn_nàn về sp
Shop phục vụ nhiệt tình.,POS,5,,shop phục_vụ nhiệt_tình
Chua bao gio that vong khi mua do cua shop.,POS,5,,chua bao gio that_vong khi mua do cua shop
Áo có thể nhìn xuyên thấu đc lun ý.,NEU,3,,áo có_thể nhìn xuyên thấu đc lun_ý
Đóng gói sp tốt.,POS,5,,đóng_gói sp tốt
Giao thiếu hàng.,POS,5,,giao thiếu hàng
Da mỏng.,NEG,1,,da mỏng
Lên form đẹp lắm luôn cực thích.,POS,5,,lên form đẹp lắm luôn cực thích
Chất vải rất ok.,POS,5,,chất vải rất ok
Chất lượng tạm được .,NEU,3,,chất_lượng tạm được
"Chất rất đẹp, rất hài lòng.",POS,4,,chất rất đẹp rất hài_lòng
Tiếp tục ủng hộ shop lần sau @@.,POS,5,,tiếp_tục ủng_hộ shop lần sau
Áo chất đẹp.,POS,4,,áo chất đẹp
Đẹp và rẻ.,POS,5,,đẹp và rẻ
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
Chất lượng sản phẩm tốt.,POS,5,,chất_lượng sản_phẩm tốt
"Chất lượng sản phẩm tuyệt vời, mặc rất thoải mái, dễ chịu.",POS,5,,chất_lượng sản_phẩm tuyệt_vời mặc rất thoải_mái dễ_chịu
Áo dày dặn mặc đẹp lắm ..,POS,5,,áo dày dặn mặc đẹp lắm
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Áo đẹp^^.,POS,5,,áo đẹp
Sản phẩm rất xấu .,NEG,1,,sản_phẩm rất xấu
"Thời gian giao hàng rất nhanh , sp ok.",POS,5,,thời_gian giao hàng rất nhanh sp ok
Đóng gói sản phẩm rất đẹp và chắc chắn .,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
Giao k đúg màu nhưng Chất lượng sản phẩm tốt.,POS,5,,giao k đúg màu nhưng chất_lượng sản_phẩm tốt
Giao hàng nhanh.,POS,5,,giao hàng nhanh
Nhưq mìh đặt áo đen logo trắq mà giao áo trắq logo đen.,NEU,3,,nhưq mìh đặt áo đen logo trắq mà giao áo trắq logo đen
Vải tốt.,POS,5,,vải tốt
Bị nhầm lẫn một chút nhưng shop đổi hàng rất nhanh trong ngày.,POS,5,,bị nhầm_lẫn một_chút nhưng shop đổi hàng rất nhanh trong ngày
Gửi ko đúng hàng đặt.,NEG,1,,gửi ko đúng hàng đặt
Tốt !,POS,5,,tốt
Vải nhăn lắm Thời gian giao hàng rất nhanh.,NEU,3,,vải nhăn lắm thời_gian giao hàng rất nhanh
Free size nhưng lại giao áo nữ l áo nam cỡ xl . 2 cái áo to như cái thùng phi sao mà mình giao cho khách đặt.,POS,4,,free size nhưng lại giao áo nữ l áo nam cỡ xl 2 cái áo to như cái thùng phi_sao mà mình giao cho khách đặt
Mất chưa đến 150k mua được 2 váy 1 áo mà cái nào cũng ưng.,POS,5,,mất chưa đến 150 k mua được 2 váy 1 áo mà cái nào cũng ưng
Quần của shop mà mang vào phòng gym hơi bị ok lun.,POS,5,,quần của shop mà mang vào phòng gym hơi bị ok lun
Shop hỗ trợ nhiệt tình.,POS,5,,shop hỗ_trợ nhiệt_tình
Bàn bị mẻ ở góc.,NEU,3,,bàn bị mẻ ở góc
Mua hàng shop mấy lần rồi vẫn rất hài lòng 😊.,POS,5,,mua hàng shop mấy lần rồi vẫn rất hài_lòng
Giày xinh cực ❤️❤️mn nên mua nhé.,POS,5,,giày xinh_cực mn nên mua nhé
Shop gửi hàng thiếu nhưng m ib shop trả lời và phục vụ rất nhiệt tình chứ k như 1 số shop khác.,POS,5,,shop gửi hàng thiếu nhưng m ib_shop trả_lời và phục_vụ rất nhiệt_tình chứ k như 1 số shop khác
Đóng gói sản phẩm rất kém.,NEG,1,,đóng_gói sản_phẩm rất kém
"Áo hơi cứng, đẩy ngực đẹp, giá khá rẻ ngoại trừ hơi cứng ra thì mình ưng phết.",POS,5,,áo hơi cứng đẩy ngực đẹp giá khá rẻ ngoại_trừ hơi cứng ra thì mình ưng phết
"Áo rất vừa vặn, dày dặn mặc lên tôn dáng lắm.",POS,5,,áo rất vừa vặn dày_dặn mặc lên tôn_dáng lắm
"Sản phẩm tốt, rất đẹp ❤❤.",POS,5,,sản_phẩm tốt rất đẹp
"Mình chỉ ko hải lòng về shipper giao hàng, giao sai địa chỉ và vô trách nhiệm!",POS,4,,mình chỉ ko hải_lòng về shipper giao hàng giao sai địa_chỉ và vô_trách_nhiệm
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Có dịp sẽ ủng hộ thêm Thời gian giao hàng rất nhanh.,POS,5,,có dịp sẽ ủng_hộ thêm thời_gian giao hàng rất nhanh
chất liệu vải ok.,POS,5,,chất_liệu vải ok
Phú hợp giá tiền.,POS,4,,phú_hợp giá tiền
Nói chung là đáng tiền.,NEG,1,*,nói_chung là đáng tiền
Chất lượng sản phẩm tạm được Thời gian giao hàng rất chậm.,NEU,3,,chất_lượng sản_phẩm tạm được thời_gian giao hàng rất chậm
